+-----+--------------------------------------------------------------------------------------------------------+
|topic|topic_words                                                                                             |
|33   |binds, second, extent, general, pumbedita, profundity, alternate, akov, might, afterward                |
|34   |advice, flogged, watering, exempts, better, attempts, deal, ravin, grow, handle                         |
|35   |brothers, table, father, residing, slaves, wives, husband, receive, contribution, portion               |
|36   |grapevines, stories, suggest, protect, beans, divine, paid, selah, prison, rungs                        |
|37   |rectification, method, sukka, unfit, numerous, alleyway, teaches, matters, mitzva, law                  |
|38   |permanently, leah, interposition, astonishment, knowingly, always, izkiya, pertains, blessings, gutters |
|39   |anilai, facedown, transfer, trunk, regularly, rings, consecration, nullifies, fashioned, segments       |
|40   |teacher, disciple, spittle, shaped, l, ruling, mouth, presence, crooked, halakhic                       |
|41   |term, temple, fifty, tabernacle, door, bolt, country, cubits, tied, torah                               |
|42   |thousand, cave, residence, cubits, walk, city, tree, location, beneath, two                             |
|43   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|44   |beer, cup, compensation, spelled, dates, insignificant, inadvertently, quarters, log, relevant          |
|45   |preferable, sat, commit, transgression, eiruv, initial, ascend, barrel, partnership, taddai             |
|46   |bundles, sela, earth, identity, individuals, two, became, incomplete, bought, god                       |
|47   |beam, cross, beit, side, post, hillel, alleyway, either, requires, shammai                              |
|48   |residence, roof, wealthy, portico, rabbi, meir, foot, boat, pauper, partitions                          |
|49   |diminish, wider, width, ai, thirteen, alleyway, arises, figure, initially, tosefta                      |
|50   |joshua, presence, word, written, david, whoever, heart, broad, stated, punished                         |
|51   |visible, post, outside, wall, inside, appears, side, looks, legal, protruding                           |
|52   |matter, patriarchs, tread, outward, originally, ascertain, intact, power, almighty, severity            |
|53   |deaf, outside, tablets, fed, lived, knocking, assertion, shorter, acquisition, willingly                |
|54   |method, pairs, cassia, eighth, release, ruling, pappi, studied, pertains, wives                         |
|55   |square, open, city, squared, avivi, responded, actuality, ashi, boundary, space                         |
|56   |push, distinguished, region, unto, riding, psalms, consist, raven, presently, importance                |
|57   |wall, ladder, city, section, excluded, handbreadths, passageway, ladders, diminishes, height            |
|58   |works, red, finder, butcher, bundle, nullified, pleasing, agreement, embankments, enactments            |
|59   |difficulties, absolutely, catch, course, sacrifice, comprised, steal, statements, cancels, remove       |
|60   |twenty, doorway, entrance, handbreadths, wide, diminish, cubits, high, height, sanctuary                |
|61   |grain, prays, nation, threshed, graze, logical, unspecified, drank, laborer, desecrates                 |
|62   |inner, outer, courtyard, forgot, resident, prohibited, eiruv, jointly, pass, residents                  |
|63   |bread, food, eiruv, meals, joining, amount, eat, person, log, enough                                    |
|64   |gentile, rent, rental, rents, value, peruta, renting, property, flawed, fledged                         |
|65   |set, way, returned, ulla, described, end, establishing, declare, residence, limit                       |
|66   |human, knowingly, served, people, partition, knew, unknowingly, emya, ne, instructed                    |
|67   |tithe, teruma, produce, tenth, flask, designated, tevel, contents, pile, tithed                         |
|68   |throwing, fast, lowering, onto, used, object, set, ninth, fell, residents                               |
|69   |thirteen, leniency, third, gap, lenient, boards, permit, surrounding, contrary, maintain                |
|70   |mine, proximity, beat, growth, applies, emek, directions, mode, importance, visible                     |
|71   |maneh, mount, greet, involves, city, daytime, inlet, preceded, examination, inclusion                   |
|72   |dimi, babylonia, eretz, yisrael, came, exchange, olive, god, cedar, attention                           |
|73   |half, authority, single, authorities, several, yishmael, disagreement, akiva, rabbi, stringencies       |
