+-----+--------------------------------------------------------------------------------------------------------+
|topic|topic_words                                                                                             |
|eruvim-merged.txt-033b-0017  |149  |149:49.8%, 81:26.0%, 1:17.2%   |corner, round, projection, hundred, brim, bat, city, boundaries, cubits, gain                           |
|eruvim-merged.txt-033b-0018  |1    |1:54.6%, 149:22.9%, 48:15.4%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0019  |1    |1:57.1%, 48:21.0%, 113:10.0%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0020  |1    |1:68.6%, 48:15.1%, 95:4.1%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0021  |1    |1:82.5%, 95:5.2%, 117:4.8%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0022  |1    |1:91.8%, 117:5.5%, 42:1.9%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0023  |1    |1:89.4%, 117:9.8%, 98:0.0%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0024  |1    |1:89.3%, 117:9.9%, 98:0.0%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0025  |1    |1:89.0%, 117:9.6%, 98:0.0%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-033b-0026  |1    |1:87.8%, 117:10.5%, 98:0.0%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0000  |1    |1:83.3%, 113:15.8%, 98:0.0%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0001  |1    |1:88.7%, 113:10.7%, 98:0.0%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0002  |1    |1:87.1%, 113:8.9%, 81:3.4%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0003  |1    |1:88.0%, 113:8.6%, 81:2.7%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0004  |1    |1:94.0%, 81:5.4%, 98:0.0%      |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0005  |1    |1:86.8%, 81:12.7%, 98:0.0%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0006  |1    |1:69.1%, 113:16.0%, 81:14.4%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0007  |1    |1:67.3%, 113:21.9%, 81:10.4%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0008  |1    |1:61.3%, 113:27.2%, 81:11.1%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034a-0009  |113  |113:51.8%, 1:39.7%, 81:8.1%    |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|eruvim-merged.txt-034a-0010  |113  |113:82.4%, 1:17.2%, 98:0.0%    |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|eruvim-merged.txt-034a-0011  |113  |113:98.1%, 88:1.4%, 98:0.0%    |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|eruvim-merged.txt-034a-0012  |113  |113:94.6%, 88:4.8%, 98:0.0%    |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|eruvim-merged.txt-034a-0013  |113  |113:87.9%, 88:5.0%, 177:2.8%   |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|eruvim-merged.txt-034a-0014  |113  |113:57.5%, 81:19.8%, 88:8.1%   |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|eruvim-merged.txt-034a-0015  |113  |113:50.6%, 81:30.4%, 177:10.0% |cupboard, blood, sacrifices, altar, offerings, sprinkled, burnt, g, bring, sprinklings                  |
|eruvim-merged.txt-034a-0016  |81   |81:42.0%, 45:21.8%, 177:14.4%  |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0000  |45   |45:33.5%, 81:29.1%, 48:15.8%   |preferable, sat, commit, transgression, eiruv, initial, ascend, barrel, partnership, taddai             |
|eruvim-merged.txt-034b-0001  |45   |45:33.5%, 81:29.4%, 48:15.7%   |preferable, sat, commit, transgression, eiruv, initial, ascend, barrel, partnership, taddai             |
|eruvim-merged.txt-034b-0002  |45   |45:33.6%, 81:32.8%, 48:14.3%   |preferable, sat, commit, transgression, eiruv, initial, ascend, barrel, partnership, taddai             |
|eruvim-merged.txt-034b-0003  |81   |81:56.6%, 1:20.6%, 177:17.7%   |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0004  |81   |81:51.1%, 1:19.9%, 177:19.4%   |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0005  |1    |1:44.1%, 81:40.3%, 177:14.8%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0006  |81   |81:41.1%, 1:36.8%, 177:15.9%   |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0007  |81   |81:45.5%, 1:35.0%, 177:11.9%   |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0008  |81   |81:40.6%, 1:37.8%, 25:13.3%    |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0009  |1    |1:42.0%, 81:32.7%, 25:19.1%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0010  |81   |81:40.5%, 1:36.1%, 25:19.7%    |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0011  |1    |1:38.6%, 81:38.0%, 25:23.0%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0012  |1    |1:42.2%, 81:38.5%, 25:18.7%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0013  |81   |81:48.1%, 1:37.6%, 25:13.6%    |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-034b-0014  |1    |1:42.2%, 98:32.6%, 81:19.2%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0015  |98   |98:44.4%, 1:34.3%, 81:12.2%    |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0016  |98   |98:83.9%, 48:9.6%, 1:5.7%      |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0017  |98   |98:64.1%, 25:21.4%, 48:9.4%    |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0018  |98   |98:50.0%, 25:35.7%, 1:10.3%    |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0019  |25   |25:52.4%, 81:19.4%, 98:16.7%   |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0020  |25   |25:48.9%, 81:27.0%, 184:11.9%  |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0021  |25   |25:40.7%, 81:19.4%, 184:15.8%  |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0022  |25   |25:36.8%, 81:17.5%, 27:11.1%   |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0023  |25   |25:58.0%, 184:11.2%, 1:10.1%   |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0024  |25   |25:69.5%, 184:8.3%, 163:7.7%   |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0025  |25   |25:87.7%, 163:6.3%, 184:3.4%   |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0026  |25   |25:99.6%, 98:0.0%, 81:0.0%     |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0027  |25   |25:99.6%, 98:0.0%, 81:0.0%     |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0028  |25   |25:99.6%, 98:0.0%, 81:0.0%     |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0029  |25   |25:98.1%, 122:1.4%, 98:0.0%    |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0030  |25   |25:94.1%, 27:3.9%, 122:1.4%    |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0031  |25   |25:89.4%, 27:8.7%, 122:1.4%    |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0032  |25   |25:83.3%, 27:9.5%, 1:6.7%      |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0033  |25   |25:66.6%, 1:29.8%, 113:3.1%    |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0034  |25   |25:58.0%, 1:35.1%, 113:3.6%    |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0035  |25   |25:46.9%, 1:43.4%, 153:5.7%    |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|eruvim-merged.txt-034b-0036  |1    |1:51.1%, 25:20.0%, 153:8.8%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0037  |1    |1:46.7%, 98:13.1%, 67:11.9%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0038  |98   |98:28.0%, 67:22.5%, 1:19.8%    |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0039  |98   |98:27.1%, 67:22.7%, 1:17.8%    |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0040  |98   |98:35.5%, 67:17.4%, 57:10.4%   |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0041  |98   |98:44.3%, 67:11.4%, 57:10.3%   |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0042  |98   |98:46.3%, 57:11.3%, 113:9.2%   |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-034b-0043  |1    |1:30.8%, 98:29.9%, 57:9.3%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0044  |1    |1:38.4%, 98:24.2%, 79:11.7%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0045  |1    |1:48.8%, 98:18.2%, 79:14.6%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0046  |1    |1:55.4%, 79:17.9%, 153:15.9%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-034b-0047  |1    |1:54.9%, 79:16.9%, 153:16.1%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0000  |1    |1:57.4%, 153:18.7%, 79:16.7%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0001  |1    |1:51.5%, 79:17.9%, 153:12.5%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0002  |1    |1:34.1%, 98:16.5%, 153:12.1%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0003  |154  |154:21.2%, 1:19.2%, 98:19.0%   |city, courtyards, middle, eiruv, yo, anan, residents, courtyard, synagogue, ben                         |
|eruvim-merged.txt-035a-0004  |154  |154:23.0%, 98:18.6%, 153:13.7% |city, courtyards, middle, eiruv, yo, anan, residents, courtyard, synagogue, ben                         |
|eruvim-merged.txt-035a-0005  |154  |154:16.9%, 98:14.5%, 153:12.7% |city, courtyards, middle, eiruv, yo, anan, residents, courtyard, synagogue, ben                         |
|eruvim-merged.txt-035a-0006  |81   |81:26.7%, 154:14.2%, 153:13.5% |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-035a-0007  |81   |81:44.6%, 48:24.2%, 153:11.6%  |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-035a-0008  |81   |81:33.0%, 26:31.9%, 1:17.6%    |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-035a-0009  |26   |26:49.9%, 81:23.1%, 1:19.5%    |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0010  |26   |26:62.9%, 1:20.7%, 81:11.2%    |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0011  |26   |26:77.3%, 1:11.0%, 98:7.6%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0012  |26   |26:83.1%, 98:8.6%, 1:6.0%      |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0013  |26   |26:91.2%, 98:7.6%, 63:0.8%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0014  |26   |26:92.3%, 98:7.2%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0015  |26   |26:99.7%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0016  |26   |26:99.7%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0017  |26   |26:99.7%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0018  |26   |26:99.7%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0019  |26   |26:99.7%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0020  |26   |26:99.5%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0021  |26   |26:99.5%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0022  |26   |26:99.6%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0023  |26   |26:99.6%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0024  |26   |26:99.4%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0025  |26   |26:99.4%, 98:0.0%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0026  |26   |26:96.3%, 98:2.9%, 81:0.0%     |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0027  |26   |26:78.3%, 98:20.8%, 81:0.0%    |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0028  |26   |26:47.1%, 167:15.1%, 98:11.5%  |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0029  |26   |26:47.5%, 98:18.0%, 167:9.1%   |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0030  |26   |26:31.6%, 180:15.8%, 167:15.3% |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0031  |26   |26:19.2%, 167:14.9%, 180:14.5% |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0032  |26   |26:20.1%, 167:16.6%, 180:16.3% |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|eruvim-merged.txt-035a-0033  |81   |81:25.1%, 26:18.1%, 28:11.7%   |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-035a-0034  |81   |81:18.3%, 1:12.8%, 126:10.5%   |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-035a-0035  |1    |1:19.9%, 81:14.9%, 126:10.3%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0036  |1    |1:26.0%, 43:15.6%, 180:11.3%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0037  |1    |1:28.9%, 43:17.4%, 180:11.6%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0038  |43   |43:26.8%, 126:23.9%, 1:21.8%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035a-0039  |126  |126:25.3%, 1:16.5%, 16:11.4%   |returned, limit, mother, ya, gentiles, akov, confer, beyond, possession, original                       |
|eruvim-merged.txt-035a-0040  |126  |126:32.8%, 1:18.6%, 43:16.0%   |returned, limit, mother, ya, gentiles, akov, confer, beyond, possession, original                       |
|eruvim-merged.txt-035a-0041  |1    |1:24.6%, 126:23.6%, 43:15.1%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0042  |1    |1:26.7%, 126:23.9%, 43:15.0%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0043  |1    |1:40.8%, 43:32.7%, 42:8.7%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0044  |43   |43:54.2%, 1:23.3%, 42:6.2%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035a-0045  |43   |43:57.5%, 1:20.8%, 126:8.7%    |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035a-0046  |43   |43:57.6%, 126:16.4%, 81:13.2%  |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035a-0047  |43   |43:52.3%, 81:19.1%, 42:13.1%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035a-0048  |43   |43:43.6%, 1:15.3%, 42:11.7%    |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035a-0049  |81   |81:27.1%, 1:24.1%, 43:17.2%    |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-035a-0050  |81   |81:30.7%, 1:25.7%, 42:17.4%    |domain, phylacteries, public, private, shabbat, four, house, water, decree, carrying                    |
|eruvim-merged.txt-035a-0051  |1    |1:62.6%, 42:13.8%, 43:9.8%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0052  |1    |1:79.9%, 43:8.8%, 67:8.2%      |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0053  |1    |1:97.7%, 147:1.3%, 98:0.0%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0054  |1    |1:97.6%, 65:1.7%, 98:0.0%      |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0055  |1    |1:92.7%, 188:6.8%, 98:0.0%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0056  |1    |1:89.8%, 188:9.6%, 98:0.0%     |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0057  |1    |1:88.7%, 188:10.7%, 98:0.0%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0058  |1    |1:72.6%, 188:12.8%, 81:10.5%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0059  |1    |1:61.2%, 188:11.2%, 67:5.0%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0060  |1    |1:42.7%, 161:10.6%, 67:7.7%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0061  |1    |1:51.2%, 161:10.5%, 85:8.0%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0062  |1    |1:41.5%, 43:15.5%, 161:9.1%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0063  |1    |1:54.4%, 43:15.7%, 161:8.7%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0064  |1    |1:52.2%, 43:19.4%, 161:8.5%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0065  |1    |1:37.1%, 43:33.4%, 98:17.8%    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035a-0066  |1    |1:35.8%, 43:34.6%, 113:12.3%   |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|eruvim-merged.txt-035b-0000  |43   |43:99.7%, 98:0.0%, 81:0.0%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0001  |43   |43:99.7%, 98:0.0%, 81:0.0%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0002  |43   |43:99.7%, 98:0.0%, 81:0.0%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0003  |43   |43:98.7%, 73:1.1%, 98:0.0%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0004  |43   |43:98.5%, 73:1.3%, 98:0.0%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0005  |43   |43:96.8%, 73:2.9%, 98:0.0%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0006  |43   |43:94.3%, 81:2.8%, 73:2.6%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0007  |43   |43:79.8%, 172:10.6%, 41:3.7%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0008  |43   |43:55.6%, 172:22.6%, 41:8.1%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0009  |43   |43:46.9%, 172:32.2%, 41:8.1%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0010  |172  |172:37.7%, 43:23.8%, 41:10.1%  |partition, canyon, double, length, handbreadths, measurement, cubits, partitions, four, width           |
|eruvim-merged.txt-035b-0011  |172  |172:43.3%, 43:14.3%, 41:12.2%  |partition, canyon, double, length, handbreadths, measurement, cubits, partitions, four, width           |
|eruvim-merged.txt-035b-0012  |172  |172:37.7%, 48:15.7%, 98:12.7%  |partition, canyon, double, length, handbreadths, measurement, cubits, partitions, four, width           |
|eruvim-merged.txt-035b-0013  |172  |172:36.2%, 48:15.8%, 98:14.2%  |partition, canyon, double, length, handbreadths, measurement, cubits, partitions, four, width           |
|eruvim-merged.txt-035b-0014  |172  |172:25.8%, 98:19.1%, 48:17.0%  |partition, canyon, double, length, handbreadths, measurement, cubits, partitions, four, width           |
|eruvim-merged.txt-035b-0015  |98   |98:34.2%, 48:24.2%, 43:17.4%   |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-035b-0016  |98   |98:49.6%, 48:16.5%, 43:13.9%   |beit, courtyard, opinion, rabbi, accordance, boards, yehuda, breach, upright, clause                    |
|eruvim-merged.txt-035b-0017  |43   |43:61.5%, 98:29.9%, 163:5.4%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0018  |43   |43:62.8%, 98:26.4%, 163:4.3%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0019  |43   |43:64.4%, 98:24.0%, 16:4.8%    |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0020  |43   |43:60.6%, 98:23.7%, 117:8.1%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0021  |43   |43:70.3%, 98:12.4%, 117:8.0%   |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0022  |43   |43:66.9%, 98:8.1%, 77:7.5%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0023  |43   |43:60.0%, 98:13.5%, 1:6.5%     |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
|eruvim-merged.txt-035b-0024  |43   |43:62.7%, 98:18.0%, 78:6.1%    |doubt, impure, ritual, immersed, pure, ritually, immerse, forty, bath, became                           |
